Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-09-20,314.01898193359375,322.65336113195434,313.7644742751729,322.5750579775089,21436500
2023-09-21,312.8050842285156,318.5026021085826,308.3704250255411,312.5407774764578,35560400
2023-09-22,310.3381042480469,314.68466081747965,309.4961885790443,314.5573920637111,21447900
2023-09-25,310.85699462890625,310.9842634015669,308.3704436389246,309.9269765789233,17836000
2023-09-26,305.5706787109375,309.23195666524725,303.49527138826676,308.4977412546043,26297600
2023-09-27,306.20703125,307.6852314807057,303.17226786279906,305.72732347287354,19410100
2023-09-28,307.0390930175781,308.84036447643473,302.9372740873856,304.4448414726015,19683600
2023-09-29,309.1047058105469,312.74641565358826,308.3509220336715,311.0626136858314,24147300
2023-10-02,315.0273742675781,315.11550641477425,308.5467037935523,309.6235591310726,20570000
2023-10-03,306.7943420410156,314.6259723470464,304.66020007739525,314.0777307403494,21033500
2023-10-04,312.2471008300781,313.3043876816742,307.3914982671209,307.420865686593,20720100
2023-10-05,312.638671875,313.24564832750764,308.27254628304615,312.3743651035606,16965600
2023-10-06,320.3724365234375,322.2618102249638,309.6430811517103,309.8878196065806,25673600
2023-10-09,322.8785705566406,323.3484492911128,316.37830256029935,317.9152672966711,19891200
2023-10-10,321.4786682128906,324.13162477364205,320.7738202479149,323.9945568948938,20557100
2023-10-11,325.423828125,325.81540366125716,322.21286092721374,324.23927254305164,20063200
2023-10-12,324.19036865234375,326.6083859172805,321.8017188086289,323.6127894514465,19313100
2023-10-13,320.8325500488281,326.8041445225291,319.49135820401887,325.3846793916084,21072400
2023-10-16,325.6392517089844,329.0655904860134,323.6421773138597,324.08268866001004,22158000
2023-10-17,325.0714111328125,326.4419405397074,320.51928173209353,322.65339394249423,18338500
2023-10-18,323.1625061035156,328.527185035995,321.39060166853324,325.49242151534173,23153600
2023-10-19,324.3470153808594,329.7899967094516,323.9456406942705,325.15953397789394,25052100
2023-10-20,319.7948303222656,324.9343374400908,318.6005055684448,324.73853474262626,25027700
2023-10-23,322.38909912109375,325.7273354388913,317.56286365993043,318.620120705819,24374700
2023-10-24,323.5735778808594,324.8560048878325,320.7052505981055,324.3273615041399,31153600
2023-10-25,333.500244140625,338.91385810810175,330.5144167677778,337.7586697804962,55053800
2023-10-26,320.98919677734375,334.4400133073603,320.0591786565096,333.37295718073534,37828500
2023-10-27,322.8688049316406,329.63338041744635,321.48847625541964,323.47575161012696,29856500
2023-10-30,330.2109069824219,332.3058824741977,324.84622935304117,326.39299310170355,22828100
2023-10-31,330.9941101074219,331.86539347468425,327.6461042839537,331.7185563552872,20265300
2023-11-01,338.7864990234375,340.1080924345702,332.5016034045349,332.63867125656543,28158800
2023-11-02,340.9892272949219,341.48847346531505,337.5139230484177,339.93194035995595,24348100
2023-11-03,345.3748779296875,346.9314407134558,340.01999961550734,342.27161121053757,23637700
2023-11-06,349.0264587402344,350.0152118128962,345.9133922766887,346.0112936490332,23828300
2023-11-07,352.9422607421875,354.83163466533523,350.10330030774577,351.83603801636735,25833900
2023-11-08,355.5559997558594,356.2118820120091,352.96174852168724,354.067970995073,26767800
2023-11-09,353.0989074707031,357.11262469595323,352.7758359325908,354.67500901172906,24847300
2023-11-10,361.8899230957031,362.3108661279153,353.4709130749397,353.8820570074666,28042100
2023-11-13,358.96282958984375,360.7151655370174,358.1992466988061,360.4704270478989,19986500
2023-11-14,362.4772033691406,364.1218684157094,359.6186750774512,363.2016494775537,27683900
2023-11-15,362.6243896484375,366.0184363495822,360.1131537221127,364.20368992773217,26860100
2023-11-16,369.00048828125,369.17705042836303,363.12463294088235,363.88976551430744,27182300
2023-11-17,362.80096435546875,367.23480603716206,360.0052770614011,366.4892814424939,40157000
2023-11-20,370.24627685546875,371.6490149349355,363.9290160684621,364.1448242296059,52465100
2023-11-21,365.9595947265625,369.0495522871196,364.0467481750121,368.5100468166504,28423100
2023-11-22,370.6484680175781,372.5514954656195,367.8233538705503,370.7956031427492,23345300
2023-11-24,370.23651123046875,370.76622769070315,367.9901781565456,370.1384111547305,10176600
2023-11-27,371.3940124511719,373.38535117738047,369.0299712724483,369.5989038114079,22179200
2023-11-28,375.4060363769531,375.70030662709087,370.9525569972749,371.1389381343408,20453100
2023-11-29,371.6294250488281,376.97553440384473,370.24629493974936,376.44584793002184,28963400
2023-11-30,371.6882629394531,372.8457658390955,368.313824366715,371.2762546529022,30554400
2023-12-01,367.37213134765625,370.95255911244834,364.23310896058763,369.57924804408185,33040500
2023-12-04,362.1044616699219,362.47719398696046,355.98337139108264,362.06521566015255,32063300
2023-12-05,365.4200439453125,365.9693683802573,358.65155863650625,359.46575623768496,23065000
2023-12-06,361.7709655761719,367.0484320232483,361.0156519151652,366.42064545969674,21182100
2023-12-07,363.87994384765625,364.37041416963126,359.3381838764181,361.2117840986747,23118900
2023-12-08,367.09747314453125,367.3230703614092,361.2118285564288,362.1633422956095,20154400
2023-12-11,364.2232666015625,364.51756677042914,359.1223929698161,361.45703660419446,27708800
2023-12-12,367.24456787109375,367.2838138794258,363.3992673247469,363.7818485501349,24838300
2023-12-13,367.2348327636719,370.44252860296217,363.7034396055238,368.8533792298406,30955500
2023-12-14,358.9555969238281,366.63637880742436,357.18991576728746,366.19494355032305,43277500
2023-12-15,363.6641845703125,365.30233890168853,359.29898614385536,359.858129570657,78502300
2023-12-18,365.5475769042969,365.89091216563435,361.65324079721444,362.4085843593443,21802900
2023-12-19,366.1459655761719,366.1459655761719,362.79113493260104,364.40968123442,20603700
2023-12-20,363.5562744140625,368.8631677330293,363.46799333439736,367.852799906723,26316700
2023-12-21,366.42059326171875,367.2740068711911,362.98730085105643,365.45926060979707,17708000
2023-12-22,367.4407653808594,368.02933580590116,365.606411005962,366.55792471126443,17107500
2023-12-26,367.519287109375,369.7558309565617,366.38139217856946,367.852803392138,12673100
2023-12-27,366.9405517578125,367.91167362196546,365.7045567045712,366.56778944423564,14905400
2023-12-28,368.1274108886719,369.2849136866252,367.028762135636,368.215691956048,14327000
